id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1595413808.104000,U016M08G1M4,":dove_of_peace:

_KERNEL fellows!_ *I am looking for team members to join the following project (Thrivy)*

This idea came to me about 4 days ago, so it is very rough. But that means we can shape it together!

We have a bunch of Defi apps, and a lot of other interesting dapps built on Ethereum. The use case is pretty confined to a very limited set of people, though. There are a number of reasons for that.

We need retail adoption, to truly unlock the potential of blockchain / Ethereum. We need people buying groceries with crypto. We need them to pay for everyday services with crypto. The problem is immense, but someone has to solve it. And I am not going to give up, because I can see an incredible future if we do. Just think about how we can create better awareness, for example, about what people are buying in the shops (meat, poultry, etc.). What conditions those poor animals were in. By having traceability baked into the payments. This is absolutely *insane*. We will have to overcome regulatory hurdles. But from the technical perspective, I suppose we would start with some sorts of a reward system for retailers (to cut on their costs of maintaining any systems they may have / help them avoid printing paper and thus cutting down trees for those silly cards with stamps)

I will be having an initial call today in 2 hours and 30 minutes (14:00 BST) with someone (outside of KERNEL) who has agreed to help brainstorm and solidify the idea. Would you like to jump on a call too? We will use Miro, of course :slightly_smiling_face:

Retail adoption is just the first step

But it is a necessary step

I am so excited for what this will do and what other use cases and dapps this will spawn. We can create a better world *together*

Status’s Keycard may work really well here","Mon, 19 Jan 1970 11:10:13 GMT",1595413808.104000,,"[{""name"":""eyes"",""users"":[""U0172CM3049"",""U017E8XAW0G"",""U018PEEUSQJ""],""count"":3},{""name"":""electric_plug"",""users"":[""U017EF8VBS4""],""count"":1}]",4
1594151780.001400,U016PP38YLA,<@U016PP38YLA> has joined the channel,"Mon, 19 Jan 1970 10:49:11 GMT",,,,0
1594151477.001200,U0172BR9Q8H,<@U0172BR9Q8H> has joined the channel,"Mon, 19 Jan 1970 10:49:11 GMT",,,,0
1594151387.001000,U016PNPMFSN,<@U016PNPMFSN> has joined the channel,"Mon, 19 Jan 1970 10:49:11 GMT",,,,0
1594151248.000800,U016PUP7D5Z,<@U016PUP7D5Z> has joined the channel,"Mon, 19 Jan 1970 10:49:11 GMT",,,,0
1594151127.000600,U016PUK3G9Z,<@U016PUK3G9Z> has joined the channel,"Mon, 19 Jan 1970 10:49:11 GMT",,,,0
1594150919.000400,U016VTJACBW,<@U016VTJACBW> has joined the channel,"Mon, 19 Jan 1970 10:49:10 GMT",,,,0
1594150783.000200,U016VTDLG5S,<@U016VTDLG5S> has joined the channel,"Mon, 19 Jan 1970 10:49:10 GMT",,,,0
1594042755.000800,U016FDAC4LT,<@U016FDAC4LT> has joined the channel,"Mon, 19 Jan 1970 10:47:22 GMT",,,,0
1594042755.000600,U016C909613,<@U016C909613> has joined the channel,"Mon, 19 Jan 1970 10:47:22 GMT",,,,0
1594042752.000300,U016C8XH6NR,<@U016C8XH6NR> set the channel purpose: For collaboration and discussion on projects.,"Mon, 19 Jan 1970 10:47:22 GMT",,,,0
1594042751.000200,U016C8XH6NR,<@U016C8XH6NR> has joined the channel,"Mon, 19 Jan 1970 10:47:22 GMT",,,,0
