id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1598631128.090900,U01ABLT92HE,<@U01ABLT92HE> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631128.090700,U019SGAQGE4,<@U019SGAQGE4> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631128.090500,U019S55MNLU,<@U019S55MNLU> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631128.090300,U019PUEE4CS,<@U019PUEE4CS> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631128.090100,U019P395Y2U,<@U019P395Y2U> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631127.089900,U019E121XCZ,<@U019E121XCZ> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631127.089700,U0197N8SASV,<@U0197N8SASV> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631127.089500,U01927CCPFE,<@U01927CCPFE> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631127.089300,U018YAANT9S,<@U018YAANT9S> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631127.089100,U018W8T261Z,<@U018W8T261Z> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631127.088900,U018W6481FC,<@U018W6481FC> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631127.088700,U018VCHUJJD,<@U018VCHUJJD> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631127.088500,U018UBRU2AD,<@U018UBRU2AD> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631127.088300,U018QN6A932,<@U018QN6A932> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631126.088100,U018PEEUSQJ,<@U018PEEUSQJ> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631126.087900,U018MA2MG7N,<@U018MA2MG7N> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631126.087700,U018LJUUL20,<@U018LJUUL20> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631126.087500,U018GND06HG,<@U018GND06HG> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631126.087300,U018GK3QZG8,<@U018GK3QZG8> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631126.087100,U018F72SXPZ,<@U018F72SXPZ> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631126.086900,U018B5H51U4,<@U018B5H51U4> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631125.086700,U0182ST8XGB,<@U0182ST8XGB> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631125.086400,U017ZMGBQ2D,<@U017ZMGBQ2D> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631125.086200,U017XT3GPT3,<@U017XT3GPT3> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631125.086000,U017VDU1T17,<@U017VDU1T17> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631125.085800,U017UR3TSH2,<@U017UR3TSH2> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631125.085600,U017T2UJS95,<@U017T2UJS95> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631125.085400,U017SAMJGNL,<@U017SAMJGNL> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631124.085100,U017QGE8RA8,<@U017QGE8RA8> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631124.084900,U017Q8Y2BPG,<@U017Q8Y2BPG> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631124.084700,U017PNSBENQ,<@U017PNSBENQ> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631124.084500,U017M898S8Z,<@U017M898S8Z> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631124.084300,U017LTAQUHX,<@U017LTAQUHX> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631124.084100,U017LMXPJF5,<@U017LMXPJF5> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631124.083900,U017KN5MQ9J,<@U017KN5MQ9J> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631124.083700,U017JSCQA6L,<@U017JSCQA6L> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631123.083500,U017J0ESE48,<@U017J0ESE48> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631123.083300,U017HNKDHNV,<@U017HNKDHNV> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631123.083100,U017HN6F9NU,<@U017HN6F9NU> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631123.082900,U017HJZM21E,<@U017HJZM21E> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631123.082700,U017HFE51EU,<@U017HFE51EU> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631123.082500,U017GPP6X0Q,<@U017GPP6X0Q> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631123.082300,U017GN6FHQA,<@U017GN6FHQA> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631122.082100,U017GEZ1J6L,<@U017GEZ1J6L> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631122.081700,U017GEYKCGY,<@U017GEYKCGY> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631122.081500,U017GEYE2D6,<@U017GEYE2D6> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631122.081200,U017GEY2916,<@U017GEY2916> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631121.081000,U017GEXRXB2,<@U017GEXRXB2> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631121.080700,U017G0TNCFN,<@U017G0TNCFN> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631121.080500,U017F30AFRP,<@U017F30AFRP> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631121.080300,U017ECUHDGQ,<@U017ECUHDGQ> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631121.080100,U017E8GN0EL,<@U017E8GN0EL> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
